driverId,name,ssn,location,certified,wage-plan
10,Sara Gardner,565-60-0327,"82627 George Wall
East Herbertburgh, NJ 87520",Y,miles
11,Allen Davis,190-38-0639,"472 Anderson Drive Apt. 365
Wilsonhaven, PW 44586",N,miles
12,Alan Ortega,211-24-6630,"8496 Jeffery Lane Apt. 693
South Amber, ND 83587",Y,miles
13,Mary Dunn,858-03-0413,"3066 Stephanie Center
Davidfurt, NH 81208",Y,hours
14,Steven Bailey,324-92-3562,"4282 Jeffrey Pass
Deckerport, UT 12127",N,hours
15,Melanie Allen,087-87-3122,"2153 Avila Vista
Port Emily, WV 88438",Y,miles
16,Justin Mitchell,249-84-0867,"268 Barron Club
Wilsonborough, PA 51193",Y,miles
17,Kelsey Miller,531-42-2313,"390 Christina Island
West Shannonport, IN 67553",N,miles
18,Rachel Stewart,510-28-0955,"PSC 6312, Box 5192
APO AP 51786",Y,miles
19,Jeremy Wagner,600-97-5229,"Unit 0193 Box 7963
DPO AE 09499",N,hours
20,Michael Pitts,767-93-0997,"Unit 2208 Box 1826
DPO AA 55335",N,hours
21,Ashley Bennett,548-04-2859,"47065 Dickerson Lodge Suite 357
South Sandy, WA 48102",Y,miles
22,David Gardner,235-13-6070,"12967 Silva Crossroad Suite 725
West Jenniferborough, OR 03761",Y,miles
23,Monica Lamb,360-01-5335,"36785 Martinez Cove
West Sarahchester, MD 32908",Y,miles
24,Kyle Trevino,238-06-4676,"USNS Pierce
FPO AA 42805",N,hours
25,Nicole Hendricks,439-65-6653,"914 Andrews Union Suite 857
New Dannymouth, NJ 28661",N,miles
26,Brett Green,339-83-7616,"Unit 7537 Box 0810
DPO AE 45819",N,miles
27,Amy Gutierrez,673-10-3407,"04580 Mike Springs
North Mitchellport, NE 28251",N,miles
28,Derek Giles,621-54-3993,"843 Rachel Meadow
Davidton, VI 72131",Y,hours
29,Lauren Saunders,127-18-6428,"128 Howard Forest
East Elizabethland, ME 68267",Y,miles
30,Angela Rodgers,320-42-1797,"62228 Juarez Burg
Laurenborough, WA 89717",Y,miles
31,Michael Quinn,703-72-8638,"6837 Orozco Grove Suite 528
North Joshuafort, NY 98143",N,miles
32,Laura Duran,370-91-8441,"8614 Kevin Ridge Suite 788
Danieltown, MA 37858",N,miles
33,John Yang,708-50-3446,"65266 Perez Terrace
Lake Jacqueline, NH 25699",Y,hours
34,Vanessa Diaz,430-64-4494,"574 Callahan Forest
Chelseamouth, OR 59048",N,miles
35,Michael Shea,291-36-8291,"3476 Wagner Springs
Lake Alexander, MI 09492",N,miles
36,Sandra Mitchell,308-06-4242,"55359 Lori Creek
Port Amandatown, NJ 69306",N,hours
37,Bernard Martin,149-72-9661,"491 Lauren Plains Apt. 937
Winterschester, DC 68197",N,hours
38,Kara Collins,134-22-9328,"219 Meghan Streets Suite 382
Lake Olivia, UT 60632",Y,hours
39,Benjamin Galloway,567-98-2944,"16075 Evans Drive Apt. 379
South Ashleyberg, MT 70677",Y,hours
40,Dylan Park,431-53-6764,"021 Reginald Crescent Apt. 401
Port John, WI 19861",N,miles
41,Denise Russell,836-09-8701,"463 Pope Landing Apt. 360
Davishaven, DC 04672",N,hours
42,Melinda Blackwell,467-33-6129,"798 Johnson Way Suite 220
New Jenniferfort, MP 15584",N,miles
43,David Thompson,481-57-3209,"5092 Kevin Avenue
Garrettberg, MT 64488",N,miles
44,Kenneth Davis,297-72-6330,"2078 Morgan Ports
North Annamouth, RI 12231",Y,hours
45,Kimberly Roy,701-35-7173,"73835 Ashley Garden Apt. 076
West Dylan, NE 73964",Y,miles
46,Leslie Meadows,107-07-9135,"39645 Smith Cliff Suite 550
Pruittborough, NE 30285",N,miles
47,Michael Allen,446-31-0077,"08768 Bowman Ferry Apt. 006
Tracybury, FL 25345",Y,hours
48,William Burns,533-78-2651,"1960 Sean Mount
New Thomas, UT 29981",Y,hours
49,Nancy Lopez,524-19-8758,"35826 Sarah Junction Suite 334
Port Craig, SD 46256",Y,hours
